model	IMDB(2)	Yelp-2	Yelp-5	AG News(2)	20News(5)	20News-fine (17)	NYT (5)	NYT-fine (26)	NYT-Topics(9)	NYT-Locations(10)	DBpedia(14)
prompt (gpt2 small)	56.42	47.36	7.62	38.42	36.32	28.76	22.45	38.9	33.44	60.32	13.93
prompt (gpt2 medium)	35.8	33.57	25.87	69.36	55.16	46.03	54.08	46.14	24.92	79	24.52
prompt (gpt2 small ProtoCal)	70.35	65.89	23.77	72.66	58.62	36.77	53.69	29.82	55.15	65.8	51.97
prompt (gpt2 medium ProtoCal)	70.58	88.6	36.62	75.26	62.58	48.55	51.97	46.85	59.04	72.45	64.46
prompt (bert-base)	42.16	35.58	7.59	68.89	50.35	3.78	49.94	39.96	37.88	38.49	17.71
prompt (bert-large)	46.64	40.91	13.17	71.45	50.2	8.67	38.84	21.12	37.58	37.56	56.17
prompt (roberta-base)	40.51	54.01	15.27	66.94	46.87	12.45	33.27	19.8	38.88	43.92	28.6
prompt (roberta-large)	86.87	90.54	25.75	76.72	44.89	5.21	33.09	16.29	44.89	59.95	39.03
prompt (bert-base) ProtoCal	58.61	75.91	30.26	65.72	34.21	12.48	44.65	24.83	37.13	28.03	36.68
prompt (bert-large) ProtoCal	69.07	78.18	29.34	66.45	39.73	20.5	57.51	17.15	31.43	32.64	78.52
prompt (roberta-base) ProtoCal	69.96	82.76	26.01	71.34	48.93	19.3	39.01	18.91	48.84	35.28	51.16
prompt (roberta-large) ProtoCal	88.79	92.13	38.9	78.95	50.78	20.33	43.29	9.16	44.6	53.61	49.97
